"Repetitions","RIR_0","RIR_1","RIR_2","RIR_3","RIR_4","RIR_5","RIR_6","RIR_7","RIR_8"
1,100,94,91,88,85.5,85.4,85.3,83.3,81.2
2,94,91,88,85.5,85.4,85.3,83.3,81.2,79.1
3,91,88,85.5,85.4,85.3,83.3,81.2,79.1,76.9
4,88,85.5,85.4,85.3,83.3,81.2,79.1,76.9,74.8
5,85.5,85.4,85.3,83.3,81.2,79.1,76.9,74.8,72.7
6,85.4,85.3,83.3,81.2,79.1,76.9,74.8,72.7,70.5
7,85.3,83.3,81.2,79.1,76.9,74.8,72.7,70.5,68.4
8,83.3,81.2,79.1,76.9,74.8,72.7,70.5,68.4,66.2
9,81.2,79.1,76.9,74.8,72.7,70.5,68.4,66.2,64
10,79.1,76.9,74.8,72.7,70.5,68.4,66.2,64,61.9
11,76.9,74.8,72.7,70.5,68.4,66.2,64,61.9,59.9
12,74.8,72.7,70.5,68.4,66.2,64,61.9,59.9,58
13,72.7,70.5,68.4,66.2,64,61.9,59.9,58,56.1
14,70.5,68.4,66.2,64,61.9,59.9,58,56.1,54.4
15,68.4,66.2,64,61.9,59.9,58,56.1,54.4,52.7
16,66.2,64,61.9,59.9,58,56.1,54.4,52.7,51.1
17,64,61.9,59.9,58,56.1,54.4,52.7,51.1,49.6
18,61.9,59.9,58,56.1,54.4,52.7,51.1,49.6,48.2
19,59.9,58,56.1,54.4,52.7,51.1,49.6,48.2,46.8
20,58,56.1,54.4,52.7,51.1,49.6,48.2,46.8,45.5
21,56.1,54.4,52.7,51.1,49.6,48.2,46.8,45.5,44.3
22,54.4,52.7,51.1,49.6,48.2,46.8,45.5,44.3,43.1
23,52.7,51.1,49.6,48.2,46.8,45.5,44.3,43.1,42
24,51.1,49.6,48.2,46.8,45.5,44.3,43.1,42,40.9
25,49.6,48.2,46.8,45.5,44.3,43.1,42,40.9,39.9
26,48.2,46.8,45.5,44.3,43.1,42,40.9,39.9,38.9
27,46.8,45.5,44.3,43.1,42,40.9,39.9,38.9,38
28,45.5,44.3,43.1,42,40.9,39.9,38.9,38,37.1
29,44.3,43.1,42,40.9,39.9,38.9,38,37.1,36.3
30,43.1,42,40.9,39.9,38.9,38,37.1,36.3,35.5
